,Date,Résidus
2970,2020-06-18,-2084.7164457287
2971,2020-06-19,-1880.1105117252228
2972,2020-06-20,-1727.007519927567
2973,2020-06-21,-2593.4279077844185
2974,2020-06-22,-2472.552297114642
2975,2020-06-23,-2241.3006340343636
2976,2020-06-24,-808.3260669814554
2977,2020-06-25,-187.34820327769557
2978,2020-06-26,-552.6948772057149
2979,2020-06-27,-1606.3982666203156
2980,2020-06-28,-2255.9679163219553
2981,2020-06-29,-2183.0974188603795
2982,2020-06-30,-2224.2400455322713
2983,2020-07-01,-1229.5989659295155
2984,2020-07-02,-1706.456723030613
2985,2020-07-03,-1804.7131243001786
2986,2020-07-04,-1504.977414034096
2987,2020-07-05,-1311.3373139198811
2988,2020-07-06,-1238.0617115317873
2989,2020-07-07,-1310.1723186722156
2990,2020-07-08,-305.42996694314206
2991,2020-07-09,753.3397637674934
2992,2020-07-10,782.712395275601
2993,2020-07-11,-512.4240130587496
2994,2020-07-12,-181.63445603738364
2995,2020-07-13,-2890.6364068675466
2996,2020-07-14,-7396.868419781822
2997,2020-07-15,-639.4736008226755
2998,2020-07-16,32.377336807519896
2999,2020-07-17,918.9542253504915
3000,2020-07-18,968.8808935374618
3001,2020-07-19,980.3712879034138
3002,2020-07-20,1866.5314468253055
3003,2020-07-21,1600.7919712083967
3004,2020-07-22,1555.9252941894374
3005,2020-07-23,2568.7230280661897
3006,2020-07-24,2452.464178078859
3007,2020-07-25,2169.828313155107
3008,2020-07-26,1750.1310675928835
3009,2020-07-27,2446.625160792646
3010,2020-07-28,1588.9315860947463
3011,2020-07-29,1953.0552806475243
3012,2020-07-30,3369.0605664285977
3013,2020-07-31,4639.537166226473
3014,2020-08-01,3390.5109010418673
3015,2020-08-02,1113.6764612771585
3016,2020-08-03,-1276.3045408693579
3017,2020-08-04,-1966.375564680915
3018,2020-08-05,-1445.0728442776017
3019,2020-08-06,-112.85348683348275
3020,2020-08-07,1491.3668644872087
3021,2020-08-08,3098.12093671615
3022,2020-08-09,3313.618722985142
3023,2020-08-10,1302.0416044283993
3024,2020-08-11,1466.9664004938022
3025,2020-08-12,782.373712749446
3026,2020-08-13,-527.6840931166589
